ID	tweet	labels		
1296010336907038720t	@cath__kath AstraZeneca is made with the kidney cells of a little girl aborted back in the 70s.	ingredients		
1336808189677940736t	It begins. Please find safe alternatives to this vaccine. UK issues allergy warning about Pfizer COVID-19 vaccine after patients fall ill https://t.co/JEHgCLGIbv via @nypost	side-effect		
1329488407307956231t	@PaolaQP1231 Well, I mean congratulations Covid19 for being the first ever “thing” to eradicate influenza. In other news, Covid vaccines will spur the rise of influenza In  2021-2022 season. Influenza will be returning for a shot at the title belt. No	side-effect		
1364194604459900934t	@BorisJohnson for those of us that do not wish a vaccine so will not be given a vaccine passport to go abroad, how do you intend to deal with us, your objective I suppose is to push us to one side and penalise us, this is your great and fare justice syste	mandatory		
1375938799247765515t	She has been trying to speak out: writing letters to government, speaking to Unison. She’s been questioning everything that’s been going on for a long time: “Vaccine rollout, vaccine injury. Realising it’s an experimental agent. It’s going to keep going,”... continue thread....	side-effect rushed		
1361038049556140034t	"@DailyMailUK 😕 I'm confused: 💉 WITH the vaccine, we're still required to socially distance, wear masks, isolate, as we could still spread Covid. 🙊 HOW is a 'vaccine passport' a solution when even having the vaccine doesn't ""keep you safe""? 🤡 W"	ineffective mandatory		
1365287445114322946t	We do not need any crazy twisted politician telling us whether to take a vaccine. We do not need them to tell us how to run our lives. What we need to do is fight back and ignore the nonsensical narrative.	political		
1364157842022891520t	@AgreeT0D1sagree @Matteo30115900 @Femi_Sorry I respect Natalie’s view even if it differs from mine. I genuinely hope you don’t encounter problems for not having a vaccine passport, if they are issued	mandatory		
1413367208537989123t	Taking One for the Team #TeamCanada New Astra~seen no more #justsayno #TakeonefortheTeam #vaccineSideEffects #vaccination #VaccinesWork Wake up ~~ UK Man Left Paralyzed, Fighting For Life After Getting AstraZeneca COVID-19 Vaccine https://t.co/r2vYueiMu3	side-effect		
1405695355996426240t	Canadians who received AstraZeneca vaccine excluded from seeing Bruce Springsteen, as Broadway opens up https://t.co/DODZqD9uXy via @ctvottawa people are against aztrasenaca but Dr. Bonnie Henry stands by all vaccines all are safe seems they have no idea if they are or not folks	side-effect ineffective		
1376210451068030978t	My mom want me to take the vaccine so bad & I’m not with it	none		
1355090345676201985t	@CarnellAnita @annaberu Yes who are being culled through virus and vaccine.	conspiracy		
1370598530298081282t	Denmark, Norway, Iceland Temporarily Suspend Use Of AstraZeneca’s COVID-19 Vaccine Over Blood Clot Concerns https://t.co/QQd0sN9cLX via @swarajyamag	side-effect		
1353976833302212608t	@forestforever11 @AndyReidXI It's also blackmail as in if you don't have the vaccine you can't go abroad,shoping etc that is illegal	mandatory		
1364401704712757250t	@lara_wong @Matthew82069336 @BorisJohnson I feel sorry for you because you really believe what your saying and you have been watching to much mainstream media. Good luck with that vaccine!	none		
1355280828356558851t	@PetenyiSandor @katka_cseh Your choice, go and get a Chinese vaccine. I will wait for vaccines which are approved by the EU. We will have enough by the summer. Let’s see how much the Chinese actually will deliver, how many people willing to accept it an	country		
1315806454926905344t	@johncardillo @MaybeAmes They should open an investigation on @NIH as Fauci used tax payer money $500 million to get a patent 51% ownership under HIS personal name for Covid19 vaccine! His pushing moderna should be illegal how many others does he hold? 40	pharma		
1309326947693080580t	@MysterySolvent Death people and corona Trump keeps spreading the virus never did anything and never going to do anything waiting to do business with a non existent vaccine 🤢🤮😷😷	political		
1371181661384110082t	@ChristopherHahn @ReallyAmerican1 Where is tracing. Only country not doing that. Trace tshirt mask wearers. Finally by getting covid or a vaccine and according to their own reports like Pfizer the max antibody time frame is 8 months. Then what? There is n	ineffective		
1316838664815640576t	@edrybicki Given the murky history of the Sputnik vaccine I am not trusting this one either ! We shall see what the paper says about safety and efficiency.....	pharma ineffective		
1375011946450280449t	A vaccine that’s got liability immunity and it doesn’t stop you getting or transmitting a virus that’s never been isolated. Well done. 🤥🤥🤥🤥🤥🤥🤥🤥🤥	ineffective		
1395404298222198786t	Austrian doctor on #BBCradio4 talking about #Astrazeneca vaccine blood clots at 16 37. The @BBC shut down all information on blood clots a few weeks ago. But they're still down playing the serious side effects.	side-effect		
1290177152948695040t	@Parker_Kerns @mlee0427 @WKRN All I’m saying is it is a deadend and continues to be proven as such. Maybe after mandatory moderna vaccinations and countless side effects we will finally learn . Dead giveaway when you can’t sue them for damages due to 	side-effect pharma		
1350209248467296256t	13 January 2021 CDC and Pfizer investigating death of Miami obstetrician who died two weeks after getting vaccine | Daily Mail Online https://t.co/0ycMORX0E6 An in-depth analysis at 6:05: 21:34 14.01.2021 https://t.co/HRY0ofrb5L	side-effect		
1370183450964135937t	@gentleman_cali Since they’re so new, it’s why I won’t get the vaccine.  I don’t wanna hear a commercial in 5 years saying “if you or a loved one had the Moderna/Pfizer/J&J covid vaccine in 2021, you may be entitled to financial compensation!”	rushed		
1345361992392056833t	@keirshiels @marcuschown What is the point exactly - Pfizer itself says the vaccine is useless if the 2nd jab isn't given within the correct time frame or are you 2nd vaccinating your elderly frail patients?	ineffective		
1320833210805297154t	@MCRobredz @ttb0901 @tesssummers98 @HignettWilliam Ah! The mandatory vaccine wank.	mandatory		
1350518313298833413t	@Barnesy62 @MarkLong06 @SwainITV @piersmorgan @susannareid100 Difficult choice, endorsing the vaccine by taking it, or pretending the queue system applies to you.? Didn’t the Oxford team test it on themselves? 🤣 Lol I know they were some of the first	rushed		
1376964721409196032t	@akiriluk2 @ChuckCallesto I’ll do neither. Get over it. I’m a free American citizen & I’ll go where I want, whenever I want mask free & vaccine free. I love this country the good ole USA 🇺🇸 where I’m allowed to make my own decisions about ho	mandatory		
1352684348038733824t	@Pumphrey6K A flu shot isn’t 100% effective against the flu the flu and we don’t wear masks. The COVID vaccine is what 95% if you get both doses they say? But have to wear a mask still 🤦‍♂️. Ain’t getting me to get it	ineffective		
1378390548025839618t	@Concretesea1 COVID is similar to flu, flu has been around for decades and we didn’t have to self imprison. Chances are that COVID, just like flu, will not become extinct and will be circulating for many decades. Expensive periodic vaccine is much more 	pharma		
1356609834435702784t	51% of Americans Would Refuse or Delay Receiving the COVID-19 Vaccine, Survey Finds - Despite the relentless push by the medical and political establishment for Americans to roll up their sleeves in acceptance of the new coronavirus vaccine,... https://t.co/ggxmE3RGDl	political		
1375604672359100419t	@LikeTheMountain @kassiekitson Not at all. Honestly. It is a made up invisible enemy. Herd immunity is worldwide, without the vaccine. I am much more afraid of the vaccine imo.	side-effect		
1428558559529234437t	"#VAERS 69y♀️ #Pfizer #CovidVaccine ""cognitive decline ... an MRI of the brain was completed. ... discovery of a butterfly glioblastoma brain tumor. ... she has 4-6 months to live. The doctor stated it is about 3 months old [coinciding with vaccination]"" https://t.co/7fTH0rG9gP"	side-effect		
1334576497173164032t	@JustinTrudeau ,@cathmckenna ,@cafreeland ,@erinotoole ,@theJagmeetSingh ,@fordnation , we will not let you play Covid-19 Russian Roulette with a risky and rushed vaccine.	side-effect		
